SLAM_X,SLAM_Y,SLAM_Z,GPS_X,GPS_Y,GPS_Z
4.51,1.89,-21.03,6.48,3.57,-28.05
4.52,1.63,-20.95,6.49,3.56,-28.05
4.73,1.68,-20.99,6.50,3.56,-28.05
4.53,1.51,-20.93,6.51,3.55,-28.05
4.60,1.45,-20.90,6.51,3.55,-28.05
4.66,1.20,-20.93,6.52,3.55,-28.04
5.09,0.96,-20.93,6.52,3.54,-28.04
4.87,0.85,-20.89,6.92,3.27,-28.00
4.97,0.50,-20.82,6.94,3.26,-28.00
5.27,0.39,-20.87,6.95,3.25,-28.00
5.28,0.10,-20.78,6.96,3.24,-28.00
5.54,-0.22,-20.80,6.96,3.23,-28.00
5.69,-0.24,-20.79,6.97,3.23,-28.00
5.86,-0.65,-20.71,7.64,2.52,-28.07
6.31,-0.47,-20.78,7.66,2.51,-28.07
6.21,-1.13,-20.65,7.66,2.50,-28.07
6.50,-1.41,-20.62,7.68,2.49,-28.07
6.58,-1.40,-20.67,7.70,2.47,-28.07
6.81,-1.48,-20.73,7.71,2.45,-28.07
7.09,-1.70,-20.69,7.72,2.44,-28.07
7.38,-1.84,-20.61,8.63,1.53,-28.08
7.61,-2.26,-20.55,8.64,1.51,-28.08
7.77,-2.44,-20.51,8.65,1.50,-28.08
8.09,-2.55,-20.48,8.67,1.48,-28.08
8.20,-2.61,-20.42,8.67,1.48,-28.08
8.39,-2.65,-20.42,8.68,1.46,-28.08
8.74,-2.74,-20.48,8.70,1.45,-28.08
8.74,-3.06,-20.36,9.72,0.65,-28.04
9.11,-3.07,-20.45,9.74,0.64,-28.04
9.18,-2.86,-20.48,9.75,0.63,-28.04
9.54,-3.36,-20.44,9.77,0.61,-28.03
9.77,-3.13,-20.54,9.80,0.60,-28.03
9.82,-3.58,-20.49,9.81,0.59,-28.03
10.03,-3.76,-20.46,9.82,0.58,-28.03
10.18,-4.09,-20.39,10.73,-0.05,-28.03
10.30,-4.06,-20.44,10.75,-0.07,-28.03
10.51,-4.06,-20.43,10.76,-0.08,-28.03
10.78,-4.36,-20.38,10.77,-0.09,-28.03
10.94,-4.43,-20.38,10.78,-0.09,-28.03
11.07,-4.88,-20.31,10.79,-0.10,-28.03
11.27,-5.07,-20.32,10.80,-0.11,-28.02
11.52,-5.00,-20.34,11.61,-0.74,-28.01
11.58,-5.05,-20.36,11.64,-0.76,-28.01
11.99,-5.16,-20.38,11.64,-0.76,-28.01
11.89,-5.44,-20.19,11.66,-0.77,-28.01
12.05,-5.40,-20.31,11.67,-0.78,-28.01
12.39,-5.86,-20.30,11.68,-0.79,-28.01
12.63,-5.81,-20.35,11.69,-0.79,-28.01
12.53,-6.25,-20.12,12.51,-1.42,-27.99
13.03,-6.29,-20.23,12.53,-1.43,-27.99
13.21,-6.65,-20.18,12.54,-1.44,-27.99
13.31,-6.85,-20.21,12.55,-1.45,-27.99
13.65,-7.15,-20.24,12.56,-1.46,-27.99
13.81,-7.15,-20.27,12.57,-1.47,-27.99
13.83,-7.45,-20.16,12.58,-1.48,-27.99
14.13,-7.72,-20.24,13.61,-2.37,-27.97
14.49,-7.72,-20.32,13.63,-2.39,-27.97
14.45,-8.04,-20.15,13.64,-2.40,-27.97
15.16,-7.90,-20.56,13.65,-2.41,-27.97
15.50,-8.18,-20.54,13.66,-2.42,-27.97
15.45,-8.49,-20.45,13.67,-2.43,-27.97
15.79,-8.52,-20.51,13.69,-2.45,-27.98
16.22,-8.26,-20.62,14.65,-3.27,-28.00
16.14,-8.86,-20.48,14.67,-3.29,-28.00
16.43,-8.85,-20.48,14.68,-3.29,-28.00
16.75,-8.88,-20.52,14.70,-3.30,-28.00
16.91,-9.25,-20.55,14.71,-3.31,-28.00
17.08,-9.05,-20.65,14.73,-3.33,-28.00
17.48,-9.08,-20.71,14.76,-3.34,-28.00
17.69,-9.32,-20.77,15.66,-3.90,-27.94
17.80,-9.36,-20.77,15.68,-3.91,-27.94
17.92,-9.38,-20.81,15.69,-3.92,-27.94
18.05,-9.58,-20.87,15.71,-3.93,-27.94
18.11,-9.92,-20.81,15.72,-3.94,-27.94
18.38,-10.19,-20.88,15.73,-3.94,-27.93
18.54,-10.44,-20.86,15.74,-3.95,-27.93
18.53,-10.46,-20.92,16.41,-4.52,-27.90
18.75,-10.20,-20.97,16.43,-4.53,-27.90
19.56,-10.44,-21.16,16.44,-4.54,-27.90
20.03,-10.81,-21.35,16.44,-4.55,-27.90
19.59,-11.29,-21.16,16.45,-4.56,-27.91
20.18,-10.75,-21.49,16.47,-4.57,-27.90
20.02,-11.41,-21.25,16.47,-4.57,-27.90
20.31,-11.27,-21.46,17.29,-5.32,-27.93
20.38,-11.55,-21.38,17.30,-5.34,-27.94
20.69,-11.45,-21.45,17.31,-5.34,-27.94
20.62,-11.36,-21.50,17.32,-5.35,-27.94
20.32,-11.64,-21.47,17.33,-5.36,-27.94
20.52,-11.77,-21.53,17.34,-5.37,-27.94
20.47,-11.84,-21.53,17.35,-5.39,-27.94
19.88,-11.78,-21.52,17.74,-5.86,-28.07
19.82,-12.15,-21.51,17.74,-5.86,-28.07
20.07,-11.63,-21.47,17.74,-5.87,-28.07
20.09,-12.07,-21.36,17.74,-5.88,-28.07
20.05,-12.00,-21.25,17.75,-5.88,-28.07
20.68,-11.64,-21.35,17.75,-5.89,-28.08
20.85,-11.67,-21.32,17.75,-5.89,-28.08
21.03,-12.13,-21.29,17.86,-6.02,-28.16
21.21,-12.18,-21.24,17.86,-6.02,-28.15
21.41,-12.35,-21.18,17.87,-6.03,-28.15
21.68,-11.79,-21.15,17.88,-6.03,-28.15
21.75,-12.17,-21.12,17.88,-6.03,-28.15
21.52,-12.45,-21.32,17.88,-6.03,-28.15
21.26,-12.94,-21.15,17.89,-6.03,-28.15
21.24,-12.85,-21.13,18.67,-6.37,-28.14
21.29,-12.85,-21.07,18.68,-6.37,-28.14
21.25,-12.77,-21.04,18.68,-6.37,-28.15
21.22,-12.71,-20.98,18.68,-6.37,-28.15
21.23,-12.98,-20.92,18.68,-6.37,-28.15
21.41,-12.94,-20.93,18.69,-6.37,-28.15
21.49,-12.89,-20.89,18.69,-6.37,-28.16
21.21,-13.05,-20.75,18.60,-6.77,-28.12
21.50,-12.77,-20.78,18.60,-6.78,-28.12
21.38,-12.65,-20.64,18.60,-6.78,-28.11
21.49,-12.77,-20.61,18.60,-6.78,-28.11
21.45,-12.79,-20.50,18.60,-6.78,-28.11
21.52,-12.71,-20.50,18.60,-6.78,-28.11
21.59,-12.74,-20.45,18.60,-6.78,-28.11
21.57,-12.85,-20.42,18.55,-6.71,-27.92
21.54,-12.77,-20.36,18.55,-6.70,-27.92
21.56,-12.83,-20.33,18.54,-6.70,-27.91
21.56,-12.79,-20.28,18.54,-6.69,-27.91
21.31,-12.75,-20.27,18.54,-6.69,-27.90
21.26,-12.74,-20.21,18.54,-6.69,-27.90
21.12,-12.65,-20.15,18.54,-6.69,-27.90
21.20,-12.75,-20.12,18.43,-6.54,-27.70
21.21,-12.78,-20.10,18.43,-6.54,-27.70
21.07,-12.59,-20.06,18.43,-6.54,-27.69
20.87,-12.50,-19.98,18.43,-6.54,-27.69
21.00,-12.73,-19.98,18.43,-6.54,-27.69
21.27,-12.82,-19.92,18.43,-6.54,-27.69
21.13,-12.73,-19.83,18.43,-6.54,-27.68
21.26,-12.82,-19.85,18.37,-6.49,-27.50
21.15,-12.83,-19.74,18.37,-6.49,-27.50
21.06,-12.80,-19.69,18.37,-6.49,-27.50
21.09,-12.78,-19.69,18.37,-6.49,-27.50
21.21,-12.85,-19.65,18.37,-6.49,-27.49
21.20,-12.53,-19.59,18.37,-6.49,-27.49
21.03,-12.74,-19.51,18.37,-6.49,-27.49
21.03,-12.45,-19.47,18.45,-6.45,-27.31
21.25,-12.70,-19.40,18.45,-6.45,-27.31
21.38,-12.64,-19.38,18.45,-6.45,-27.31
21.28,-12.63,-19.31,18.45,-6.45,-27.31
20.89,-12.39,-19.23,18.45,-6.44,-27.30
20.88,-12.44,-19.20,18.45,-6.44,-27.30
20.95,-12.53,-19.11,18.45,-6.44,-27.30
20.92,-12.57,-19.08,18.48,-6.32,-27.11
20.63,-12.68,-18.98,18.48,-6.32,-27.10
21.22,-12.42,-19.00,18.48,-6.32,-27.10
21.23,-12.38,-18.99,18.48,-6.32,-27.10
21.17,-12.24,-18.94,18.48,-6.32,-27.09
20.53,-12.43,-18.82,18.48,-6.32,-27.09
20.83,-12.32,-18.79,18.48,-6.32,-27.09
21.01,-12.46,-18.78,18.52,-6.21,-26.92
20.96,-12.45,-18.78,18.52,-6.21,-26.91
20.97,-12.39,-18.73,18.52,-6.21,-26.91
21.13,-12.44,-18.68,18.51,-6.21,-26.91
21.12,-12.38,-18.66,18.51,-6.20,-26.91
21.07,-12.42,-18.58,18.51,-6.20,-26.91
21.34,-12.32,-18.58,18.51,-6.20,-26.91
21.45,-12.43,-18.58,18.60,-6.14,-26.82
21.78,-12.42,-18.56,18.61,-6.14,-26.81
21.88,-12.43,-18.52,18.61,-6.14,-26.81
22.05,-12.28,-18.45,18.61,-6.14,-26.81
22.09,-12.23,-18.40,18.62,-6.14,-26.80
22.16,-12.35,-18.36,18.62,-6.14,-26.80
22.25,-12.63,-18.38,18.62,-6.14,-26.80
22.22,-12.76,-18.45,18.92,-6.15,-26.62
22.19,-12.91,-18.49,18.93,-6.16,-26.62
22.11,-12.93,-18.53,18.94,-6.16,-26.62
21.80,-12.91,-18.47,18.94,-6.16,-26.62
21.60,-12.97,-18.51,18.95,-6.16,-26.61
21.56,-13.09,-18.53,18.95,-6.16,-26.61
21.62,-13.66,-18.64,18.96,-6.16,-26.61
21.88,-13.40,-18.68,19.03,-6.60,-26.50
21.86,-13.45,-18.59,19.03,-6.61,-26.50
22.12,-13.43,-18.56,19.03,-6.62,-26.50
22.52,-13.51,-18.61,19.02,-6.62,-26.50
22.66,-13.49,-18.66,19.02,-6.63,-26.50
22.82,-13.47,-18.68,19.02,-6.63,-26.50
22.91,-13.55,-18.67,19.02,-6.63,-26.50
22.83,-13.44,-18.69,19.61,-7.01,-26.46
22.82,-13.53,-18.71,19.63,-7.01,-26.46
22.95,-13.75,-18.78,19.63,-7.01,-26.46
23.11,-13.82,-18.80,19.64,-7.01,-26.46
23.24,-13.95,-18.77,19.65,-7.01,-26.47
23.12,-14.07,-18.78,19.66,-7.01,-26.47
23.23,-14.10,-18.76,19.66,-7.02,-26.47
23.40,-14.38,-18.82,20.02,-7.30,-26.50
23.40,-14.43,-18.81,20.02,-7.31,-26.50
23.52,-14.52,-18.79,20.02,-7.31,-26.49
23.75,-14.39,-18.79,20.03,-7.32,-26.49
23.75,-14.77,-18.82,20.03,-7.32,-26.49
23.85,-14.83,-18.83,20.04,-7.33,-26.49
23.90,-15.21,-18.83,20.04,-7.34,-26.49
24.24,-15.25,-18.92,20.45,-7.81,-26.44
24.52,-15.26,-18.92,20.46,-7.82,-26.44
24.40,-15.33,-18.91,20.46,-7.83,-26.44
24.71,-15.51,-19.00,20.47,-7.83,-26.44
24.82,-15.73,-19.01,20.48,-7.84,-26.44
24.77,-15.77,-18.93,20.49,-7.85,-26.44
25.18,-15.62,-19.16,20.49,-7.85,-26.44
25.48,-16.14,-19.12,21.22,-8.45,-26.47
25.88,-15.99,-19.17,21.23,-8.46,-26.47
26.15,-16.18,-19.25,21.25,-8.47,-26.47
26.56,-16.36,-19.31,21.26,-8.48,-26.47
26.71,-16.52,-19.28,21.27,-8.49,-26.47
26.92,-16.63,-19.27,21.28,-8.50,-26.47
27.04,-16.55,-19.39,21.29,-8.50,-26.47
27.61,-17.05,-19.30,22.21,-9.03,-26.46
28.00,-17.29,-19.31,22.22,-9.04,-26.46
28.31,-17.26,-19.35,22.24,-9.05,-26.46
28.66,-17.37,-19.33,22.25,-9.05,-26.46
29.27,-17.59,-19.35,22.26,-9.06,-26.46
29.41,-17.82,-19.33,22.28,-9.07,-26.46
29.89,-17.99,-19.44,23.59,-9.65,-26.48
30.30,-17.96,-19.50,23.62,-9.66,-26.48
30.87,-18.25,-19.52,23.65,-9.67,-26.48
31.21,-18.64,-19.53,23.66,-9.68,-26.48
31.58,-18.95,-19.56,23.68,-9.69,-26.48
32.05,-18.99,-19.68,23.69,-9.69,-26.48
32.39,-19.25,-19.67,23.70,-9.70,-26.48
33.24,-19.45,-19.85,25.25,-10.42,-26.49
33.72,-19.73,-19.96,25.30,-10.44,-26.50
34.01,-19.87,-20.09,25.33,-10.45,-26.50
34.47,-20.07,-20.20,25.35,-10.46,-26.50
34.91,-19.93,-20.52,25.37,-10.47,-26.50
35.58,-20.09,-20.69,25.39,-10.48,-26.50
36.14,-20.43,-20.85,25.41,-10.49,-26.50
36.61,-20.49,-21.08,27.30,-11.33,-26.83
37.28,-20.59,-21.20,27.33,-11.35,-26.84
37.77,-20.56,-21.38,27.35,-11.36,-26.85
38.18,-20.98,-21.44,27.38,-11.37,-26.85
38.62,-21.13,-21.60,27.40,-11.38,-26.86
